day,truck,cans,prediction,hours,truckhours
MONDAY,TRUCK 1,1349,25487.01059,7.08,1.030449538
MONDAY,TRUCK 2,1324,25167.31471,6.99,1.021637692
MONDAY,TRUCK 3,1347,24674.28562,6.85,1.017411521
MONDAY,TRUCK 4,1439,23999.68072,6.67,1.006249874
MONDAY,TRUCK 5,1318,23665.27277,6.58,0.97293708
MONDAY,TRUCK 6,1365,24268.13217,6.74,0.985950488
THURSDAY,TRUCK 1,1279,25149.01916,6.99,0.993149487
THURSDAY,TRUCK 2,1453,26636.67903,7.4,1.021470168
THURSDAY,TRUCK 3,1367,24940.11186,6.93,1.001563808
THURSDAY,TRUCK 4,1241,26319.37368,7.31,0.978493567
THURSDAY,TRUCK 5,1308,24724.97969,6.87,0.997720702
THURSDAY,TRUCK 6,1244,25587.65013,7.11,1.015923543
TUESDAY,TRUCK 1,1391,26059.92566,7.24,1.059947434
TUESDAY,TRUCK 2,1470,25707.3513,7.14,1.046583642
TUESDAY,TRUCK 3,1458,26030.50224,7.23,1.061793383
TUESDAY,TRUCK 4,1121,25072.14248,6.96,1.013445843
TUESDAY,TRUCK 5,1237,25698.04022,7.13,1.027246129
TUESDAY,TRUCK 6,1207,25817.02009,7.17,1.033938167
WEDNESDAY,TRUCK 1,1595,26368.54431,7.32,1.098658663
WEDNESDAY,TRUCK 2,1537,26232.0676,7.28,1.077439707
WEDNESDAY,TRUCK 3,1412,27551.32266,7.65,1.109086114
WEDNESDAY,TRUCK 4,1365,26848.31226,7.46,1.088767197
WEDNESDAY,TRUCK 5,1301,26476.88453,7.35,1.073297919
WEDNESDAY,TRUCK 6,1308,26332.03832,7.31,1.051708476
