centerline_id	name	road_class	speed_limit	cans_out	cans_actual	cans_per	cansperout	cans_density	est_time	slope	length	backuponly	time_obs_format	time_obs_raw	sinuosityindex	time_obs_secs	predsecs	time_obs	difference	time_obs_days	time_obs_ex2
9639863713	9639863713.00000000_R	4	25	47	66	54.78	0.712121212	125.96	17.63877	-0.36145	2766.662213	0	14:19	14.19	5.38457	859	939.23092	851.4	87.83092	0.596527778	859
9659991108	9659991108.00000000_R	5	25	26	5	4.15	1	25.45	1.71242	7.23151	1037.127728	1	0:05:48	5.48	1.1426	348	138.61498	328.8	-190.18502	0.004027778	5.8
9645724190	9645724190.00000000_R	7	20	18	0	0	1	0	0.55918	0.10161	984.1549322	0	0:04:38	4.38	36.59458	278	3.72786	262.8	-259.07214	0.003217593	4.633333333
9639864322	9639864322.00000000_R	5	25	16	0	0	1	0	0.08615	1.05524	189.5306919	0	0:02:43	2.43	1.11956	163	1.07688	145.8	-144.72312	0.001886574	2.716666667
9639832202	9639832202.00000000_R	5	20	14	22	18.26	0.636363636	56.34	6.63179	-3.10431	2061.647751	0	0:05:25	5.25	1.7744	325	357.65241	315	42.65241	0.003761574	5.416666667
9649119428	9649119428.00000000_R	5	25	14	9	7.47	1	72.79	2.53055	-1.8381	652.8493143	0	0:04:00	4	1.00042	240	132.97806	240	-107.02194	0.002777778	4
9649016578	9649016578.00000000_R	5	25	13	8	6.64	1	57.1	2.32186	-4.19044	739.7792668	0	0:04:07	4.07	1.84754	247	123.68746	244.2	-120.51254	0.002858796	4.116666667
9628378376	9628378376.00000000_R	5	25	12	10	8.3	1	32.67	3.21655	2.84653	1616.003803	0	0:03:59	3.59	1.01806	239	183.37118	215.4	-32.02882	0.002766204	3.983333333
9645039061	9645039061.00000000_R	5	25	12	11	9.13	1	41.66	3.36386	-4.5192	1394.05331	0	0:04:10	4.1	1.08033	250	187.3768	246	-58.6232	0.002893519	4.166666667
9639746050	9639746050.00000000_R	5	20	12	8	6.64	1	80.88	2.28232	-5.36162	522.2304446	0	0:03:35	3.35	1.19105	215	119.69124	201	-81.30876	0.002488426	3.583333333
9628246233	9628246233.00000000_R	5	25	12	14	11.62	0.857142857	55.54	4.07981	6.08556	1331.019838	0	0:04:13	4.13	1.03182	253	222.98921	247.8	-24.81079	0.002928241	4.216666667
